"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","is_significant"
"ENSMUSG00000098912",146.087025556124,-8.34390765223363,0.740932722244493,2.47658809430512e-31,4.71938627250784e-27,"ENSMUSG00000098912","Yes"
"ENSMUSG00000027831",64.9879258280105,6.7489738019254,1.11571953415506,1.40125053439757e-11,8.90074339449337e-08,"ENSMUSG00000027831","Yes"
"ENSMUSG00000091383",32.189683396237,9.82679914475347,2.90707337965524,1.27912673495115e-11,8.90074339449337e-08,"ENSMUSG00000091383","Yes"
"ENSMUSG00000079012",32.4531688568474,7.71118760410161,1.42155393889371,2.25454873516063e-11,1.07406701743052e-07,"ENSMUSG00000079012","Yes"
"ENSMUSG00000052681",242.308696170283,2.43276773619475,0.437001690298624,9.55437100749664e-10,3.64136187837712e-06,"ENSMUSG00000052681","Yes"
"ENSMUSG00000039187",51.4652305589169,4.90644606766557,0.902115377231296,2.14084189648465e-09,6.79931386323526e-06,"ENSMUSG00000039187","Yes"
"ENSMUSG00000019851",24.8434798072962,-0.159228601539679,0.316226456952117,5.35183884570936e-09,1.45692344348339e-05,"ENSMUSG00000019851","No"
"ENSMUSG00000062353",24.2903556450353,-4.92160159272208,1.03707976327597,2.36381349073391e-08,5.63060373492817e-05,"ENSMUSG00000062353","Yes"
"ENSMUSG00000028139",54.2936350368765,-3.36562436942456,0.723924952568258,1.12450627651619e-07,0.000238095462281027,"ENSMUSG00000028139","Yes"
"ENSMUSG00000060708",71.9738762207145,2.96791451750416,0.692314733649525,4.93747607639645e-07,0.000901191713663659,"ENSMUSG00000060708","Yes"
"ENSMUSG00000116504",23.8977563266439,-0.115509026335193,0.251142434042087,5.20209322538846e-07,0.000901191713663659,"ENSMUSG00000116504","No"
"ENSMUSG00000025889",432.703255077267,-0.153907444669322,0.305557809348316,7.2690728709931e-07,0.0011543287719137,"ENSMUSG00000025889","No"
"ENSMUSG00000020482",66.7422549987787,3.95963887101683,0.975283135024795,8.20725851975323e-07,0.00120305783348013,"ENSMUSG00000020482","Yes"
"ENSMUSG00000091705",12.589315376818,-3.58165745374294,0.847272930808282,1.07586294180417e-06,0.00146440315850145,"ENSMUSG00000091705","Yes"
